mode,condition,condition_alias,condition_display,train_seed,checkpoint_episode,f_value,coop_rate,avg_welfare
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,50000,3.500,0.6233814128831339,40.93525651532536
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,50000,5.000,0.7498286497601097,63.98903358464702
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,150000,3.500,0.3511309621373545,30.04523848549418
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,150000,5.000,0.5215472926662097,49.37902673063742
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,50000,3.500,0.44673004425504015,33.869201770201606
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,50000,5.000,0.6445339273474983,57.25017135023989
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,150000,3.500,0.42988854286182593,33.19554171447304
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,150000,5.000,0.5130226182316655,48.83344756682659
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,50000,3.500,0.36682511063760037,30.673004425504015
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,50000,5.000,0.3427004797806717,37.932830705962985
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,150000,3.500,0.01905425340108179,16.76217013604327
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,150000,5.000,0.3078735435229609,35.7039067854695
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,50000,3.500,0.24086215374528766,25.634486149811508
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,50000,5.000,0.5843043180260452,53.39547635366689
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,150000,3.500,0.6014997541386657,40.05999016554663
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,150000,5.000,0.5963416723783413,54.165867032213846
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,50000,3.500,0.6885756433371578,43.54302573348632
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,50000,5.000,0.596898560657985,54.20150788211104
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,150000,3.500,0.08306015407310277,19.32240616292411
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,150000,5.000,0.7100325565455792,61.44208361891707
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,50000,3.500,0.2064005900672021,24.256023602688085
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,50000,5.000,0.3787268677176148,40.238519533927345
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,150000,3.500,0.5340927716767743,37.36371086707097
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,150000,5.000,0.6828307059629883,59.701165181631254
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,50000,3.500,0.2779872152106212,27.11948860842485
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,50000,5.000,0.4786668951336532,46.63468128855381
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,150000,3.500,0.3988690378626455,31.95476151450582
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,150000,5.000,0.6998800548320767,60.79232350925291
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,50000,3.500,0.4809867234879528,35.23946893951811
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,50000,5.000,0.667623372172721,58.72789581905415
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,150000,3.500,0.016718570726110472,16.66874282904442
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,150000,5.000,0.3325908156271419,37.28581220013708
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,50000,3.500,0.2755695787575807,27.02278315030323
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,50000,5.000,0.561771761480466,51.953392734749826
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,150000,3.500,0.7549582035731848,46.19832814292739
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,150000,5.000,0.6569139821795751,58.042494859492805
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,50000,3.500,0.5175381085068022,36.70152434027209
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,50000,5.000,0.47562542837559973,46.44002741603838
